Database data_candlestick.sqlite3 created and successfully connected to SQLite
SQLite version is:  [('3.22.0',)]
2020-05-18 08:53:00,2.73,2.30
2020-05-18 08:54:00,2.73,2.30
2020-05-18 08:56:00,2.73,2.31
2020-05-18 08:58:00,2.73,2.30
2020-05-18 09:00:00,2.73,2.31
2020-05-18 09:02:00,2.73,2.31
2020-05-18 09:04:00,2.73,2.30
2020-05-18 09:05:00,2.73,2.30
2020-05-18 09:06:00,2.73,2.30
2020-05-18 09:08:00,2.73,2.30
2020-05-18 09:09:00,2.73,2.31
2020-05-18 09:10:00,2.73,2.31
2020-05-18 09:12:00,2.73,2.30
2020-05-18 09:13:00,2.73,2.31
2020-05-18 09:14:00,2.73,2.30
2020-05-18 09:15:00,2.73,2.30
2020-05-18 09:17:00,2.73,2.31
2020-05-18 09:18:00,2.73,2.31
2020-05-18 09:20:00,2.73,2.30
2020-05-18 09:22:00,2.73,2.31
2020-05-18 09:23:00,2.73,2.31
2020-05-18 09:24:00,2.73,2.30
2020-05-18 09:25:00,2.73,2.31
2020-05-18 09:26:00,2.73,2.31
2020-05-18 09:27:00,2.73,2.31
2020-05-18 09:29:00,2.73,2.30
2020-05-18 09:31:00,2.73,2.31
2020-05-18 09:32:00,2.73,2.31
2020-05-18 09:34:00,2.73,2.31
2020-05-18 09:36:00,2.73,2.30
2020-05-18 09:38:00,2.73,2.30
2020-05-18 09:40:00,2.73,2.30
2020-05-18 09:41:00,2.73,2.31
2020-05-18 09:42:00,2.73,2.30
2020-05-18 09:44:00,2.73,2.30
2020-05-18 09:45:00,2.73,2.30
2020-05-18 09:47:00,2.73,2.31
2020-05-18 09:48:00,2.73,2.30
2020-05-18 09:49:00,2.73,2.30
2020-05-18 09:50:00,2.73,2.31
2020-05-18 09:51:00,2.73,2.31
2020-05-18 09:52:00,2.73,2.30
2020-05-18 09:54:00,2.73,2.30
2020-05-18 09:56:00,2.73,2.30
2020-05-18 09:58:00,2.73,2.31
2020-05-18 10:00:00,2.73,2.31
2020-05-18 10:01:00,2.73,2.30
2020-05-18 10:02:00,2.73,2.31
2020-05-18 10:03:00,2.73,2.30
2020-05-18 10:04:00,2.73,2.30
2020-05-18 10:05:00,3.01,2.58
2020-05-18 10:06:00,3.00,2.58
2020-05-18 10:07:00,3.01,2.58
2020-05-18 10:08:00,3.00,2.58
2020-05-18 10:09:00,3.00,2.58
2020-05-18 10:10:00,3.01,2.58
2020-05-18 10:11:00,3.01,2.58
2020-05-18 10:12:00,3.00,2.58
2020-05-18 10:13:00,3.00,2.58
2020-05-18 10:15:00,3.00,2.58
2020-05-18 10:16:00,3.00,2.58
2020-05-18 10:17:00,3.00,2.58
2020-05-18 10:18:00,3.01,2.58
2020-05-18 10:19:00,3.00,2.58
2020-05-18 10:20:00,3.01,2.58
2020-05-18 10:22:00,3.00,2.58
2020-05-18 10:24:00,3.01,2.58
2020-05-18 10:25:00,3.01,2.58
2020-05-18 10:26:00,3.01,2.58
2020-05-18 10:28:00,3.01,2.58
2020-05-18 10:29:00,3.01,2.58
2020-05-18 10:30:00,3.01,2.58
2020-05-18 10:31:00,3.00,2.58
2020-05-18 10:33:00,3.01,2.58
2020-05-18 10:34:00,3.01,2.58
2020-05-18 10:36:00,3.01,2.58
2020-05-18 10:37:00,3.01,2.58
2020-05-18 10:38:00,3.00,2.58
2020-05-18 10:39:00,3.00,2.58
2020-05-18 10:40:00,3.01,2.58
2020-05-18 10:41:00,3.01,2.58
2020-05-18 10:42:00,3.00,2.58
2020-05-18 10:43:00,3.01,2.58
2020-05-18 10:45:00,3.00,2.58
2020-05-18 10:47:00,3.01,2.58
2020-05-18 10:48:00,3.00,2.58
2020-05-18 10:50:00,3.00,2.58
